iso_time,ts,published_at,chainlink_ts,binance_ts,fair_value,fair_value_sigma_1m,fair_value_sigma_5m,fair_value_blended_sigma,confidence,annualized_sigma,annualized_sigma_1m,annualized_sigma_5m,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-24T05:01:14.081Z,1777006874081,1777006874081,1777006873000,1777006873111,0.692425,0.614586,0.532620,0.597138,0.825919,0.126531,0.218100,0.759576,0.564481,77710.69,77726.24,77685.38,0.600000,0.610000,0.390000,0.400000,825919,826,0.610000,0.082425,0.074611,0.007815,-0.045519,-0.045293,-0.000226,-0.012862,-0.013690,0.000828
2026-04-24T05:01:14.382Z,1777006874382,1777006874382,1777006873000,1777006873111,0.692457,0.614607,0.532626,0.597155,0.825618,0.126531,0.218100,0.759576,0.564493,77710.69,77726.24,77685.38,0.590000,0.610000,0.390000,0.410000,825618,826,0.610000,0.082457,0.077246,0.005211,-0.045507,-0.045004,-0.000503,-0.012845,-0.013001,0.000156
2026-04-24T05:01:15.149Z,1777006875149,1777006875149,1777006874000,1777006874430,0.703463,0.619315,0.534035,0.601656,0.824851,0.124097,0.218100,0.759576,0.567210,77711.75,77721.74,77685.38,0.590000,0.610000,0.390000,0.410000,824851,825,0.610000,0.093463,0.079390,0.014073,-0.042790,-0.044716,0.001926,-0.008344,-0.012387,0.004043
2026-04-24T05:01:15.896Z,1777006875896,1777006875896,1777006874000,1777006875393,0.703547,0.619368,0.534051,0.601701,0.824104,0.124097,0.218100,0.759576,0.567241,77711.75,77721.74,77685.38,0.590000,0.600000,0.400000,0.410000,824104,824,0.600000,0.103547,0.082633,0.020914,-0.032759,-0.044156,0.011397,0.001701,-0.011323,0.013024
2026-04-24T05:01:16.445Z,1777006876445,1777006876445,1777006875000,1777006875393,0.677422,0.607518,0.530516,0.590599,0.823555,0.129400,0.218100,0.759576,0.560416,77709.06,77721.74,77685.38,0.590000,0.600000,0.400000,0.410000,823555,824,0.600000,0.077422,0.085916,-0.008494,-0.039584,-0.042783,0.003199,-0.009401,-0.009599,0.000198
2026-04-24T05:01:17.424Z,1777006877424,1777006877424,1777006876000,1777006876381,0.647879,0.593899,0.526486,0.577955,0.822576,0.136701,0.218100,0.759576,0.552621,77705.99,77721.74,77685.38,0.560000,0.570000,0.430000,0.440000,822576,823,0.570000,0.077879,0.085945,-0.008066,-0.017379,-0.042137,0.024758,0.007955,-0.009123,0.017078
2026-04-24T05:01:17.448Z,1777006877448,1777006877448,1777006876000,1777006876381,0.647881,0.593901,0.526487,0.577956,0.822552,0.136701,0.218100,0.759576,0.552621,77705.99,77721.74,77685.38,0.550000,0.570000,0.430000,0.450000,822552,823,0.570000,0.077881,0.084828,-0.006948,-0.017379,-0.039912,0.022534,0.007956,-0.007783,0.015740
2026-04-24T05:01:17.477Z,1777006877477,1777006877477,1777006876000,1777006877431,0.647883,0.593902,0.526487,0.577958,0.822523,0.136701,0.218100,0.759576,0.552622,77705.99,77715.13,77685.38,0.540000,0.550000,0.450000,0.460000,822523,823,0.550000,0.097883,0.083496,0.014388,0.002622,-0.037570,0.040192,0.027958,-0.006345,0.034303
2026-04-24T05:01:17.849Z,1777006877849,1777006877849,1777006876000,1777006877431,0.647915,0.593923,0.526493,0.577975,0.822151,0.136701,0.218100,0.759576,0.552634,77705.99,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,822151,822,0.540000,0.107915,0.083583,0.024332,0.012634,-0.033230,0.045864,0.037975,-0.002987,0.040963
2026-04-24T05:01:18.059Z,1777006878059,1777006878059,1777006877000,1777006877431,0.652360,0.593935,0.526497,0.578603,0.821941,0.132536,0.218100,0.759576,0.552641,77705.99,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,821941,822,0.540000,0.112360,0.087783,0.024577,0.012641,-0.027120,0.039761,0.038603,0.002647,0.035956
2026-04-24T05:01:19.213Z,1777006879213,1777006879213,1777006878000,1777006878321,0.589946,0.567893,0.518873,0.553454,0.820787,0.164245,0.218100,0.759576,0.537853,77700.21,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,820787,821,0.540000,0.049946,0.091323,-0.041378,-0.002147,-0.021302,0.019155,0.013454,0.007870,0.005585
2026-04-24T05:01:20.317Z,1777006880317,1777006880317,1777006879000,1777006879431,0.572082,0.555157,0.515176,0.543179,0.819683,0.166786,0.218100,0.759576,0.530666,77697.41,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,819683,820,0.540000,0.032082,0.088075,-0.055994,-0.009334,-0.016965,0.007631,0.003179,0.010501,-0.007322
2026-04-24T05:01:21.394Z,1777006881394,1777006881394,1777006880000,1777006880355,0.551076,0.540184,0.510848,0.531127,0.818606,0.171767,0.218100,0.759576,0.522244,77694.14,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,818606,819,0.540000,0.011076,0.083038,-0.071962,-0.017756,-0.013347,-0.004409,-0.008873,0.012104,-0.020977
2026-04-24T05:01:21.949Z,1777006881949,1777006881949,1777006881000,1777006881424,0.552700,0.540197,0.510852,0.531435,0.818051,0.166534,0.218100,0.759576,0.522252,77694.14,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,818051,818,0.540000,0.012700,0.074799,-0.062099,-0.017748,-0.010844,-0.006904,-0.008565,0.012051,-0.020616
2026-04-24T05:01:23.088Z,1777006883088,1777006883088,1777006882000,1777006882429,0.554394,0.540226,0.510861,0.531751,0.816912,0.161461,0.218100,0.759576,0.522268,77694.14,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,816912,817,0.540000,0.014394,0.065714,-0.051320,-0.017732,-0.009343,-0.008389,-0.008249,0.011024,-0.019273
2026-04-24T05:01:24.242Z,1777006884242,1777006884242,1777006883000,1777006882429,0.556142,0.540254,0.510870,0.532065,0.815758,0.156542,0.218100,0.759576,0.522284,77694.14,77715.13,77685.38,0.530000,0.540000,0.460000,0.470000,815758,816,0.540000,0.016142,0.059412,-0.043270,-0.017716,-0.007158,-0.010558,-0.007935,0.011140,-0.019075
