iso_time,ts,published_at,fair_value,confidence,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-17T07:31:04.006Z,1776411064006,1776411064006,0.647571,0.835994,75017.18,75017.18,74986.58,0.680000,0.690000,0.310000,0.320000,835994,836,0.690000,-0.042429,-0.052909,0.010480
2026-04-17T07:31:04.996Z,1776411064996,1776411064996,0.647927,0.835004,75016.38,75016.38,74986.58,0.680000,0.690000,0.310000,0.320000,835004,835,0.690000,-0.042073,-0.049043,0.006971
2026-04-17T07:31:06.013Z,1776411066013,1776411066013,0.652447,0.833987,75016.38,75016.38,74986.58,0.680000,0.690000,0.310000,0.320000,833987,834,0.690000,-0.037553,-0.045166,0.007613
2026-04-17T07:31:07.162Z,1776411067162,1776411067162,0.657446,0.832838,75016.45,75016.45,74986.58,0.680000,0.690000,0.310000,0.320000,832838,833,0.690000,-0.032554,-0.040299,0.007745
2026-04-17T07:31:08.256Z,1776411068256,1776411068256,0.662247,0.831744,75016.45,75016.45,74986.58,0.680000,0.690000,0.310000,0.320000,831744,832,0.690000,-0.027753,-0.036472,0.008719
2026-04-17T07:31:09.285Z,1776411069285,1776411069285,0.667329,0.830715,75016.49,75016.49,74986.58,0.680000,0.690000,0.310000,0.320000,830715,831,0.690000,-0.022671,-0.032521,0.009850
2026-04-17T07:31:09.911Z,1776411069911,1776411069911,0.672499,0.830089,75016.52,75016.52,74986.58,0.680000,0.690000,0.310000,0.320000,830089,830,0.690000,-0.017501,-0.027607,0.010105
2026-04-17T07:31:10.967Z,1776411070967,1776411070967,0.677669,0.829033,75016.52,75016.52,74986.58,0.680000,0.690000,0.310000,0.320000,829033,829,0.690000,-0.012331,-0.022562,0.010231
2026-04-17T07:31:12.178Z,1776411072178,1776411072178,0.683004,0.827822,75016.52,75016.52,74986.58,0.680000,0.690000,0.310000,0.320000,827822,828,0.690000,-0.006996,-0.017451,0.010455
2026-04-17T07:31:13.204Z,1776411073204,1776411073204,0.691912,0.826796,75017.22,75017.22,74986.58,0.680000,0.690000,0.310000,0.320000,826796,827,0.690000,0.001912,-0.011518,0.013429
2026-04-17T07:31:13.937Z,1776411073937,1776411073937,0.691990,0.826063,75017.22,75017.22,74986.58,0.680000,0.700000,0.300000,0.320000,826063,826,0.700000,-0.008010,-0.008585,0.000575
2026-04-17T07:31:14.132Z,1776411074132,1776411074132,0.692011,0.825868,75017.22,75017.22,74986.58,0.690000,0.700000,0.300000,0.310000,825868,826,0.700000,-0.007989,-0.006683,-0.001306
2026-04-17T07:31:14.312Z,1776411074312,1776411074312,0.698612,0.825688,75017.41,75017.41,74986.58,0.690000,0.700000,0.300000,0.310000,825688,826,0.700000,-0.001388,-0.004494,0.003106
2026-04-17T07:31:14.771Z,1776411074771,1776411074771,0.698663,0.825229,75017.41,75017.41,74986.58,0.690000,0.710000,0.290000,0.310000,825229,825,0.710000,-0.011337,-0.005362,-0.005975
2026-04-17T07:31:15.238Z,1776411075238,1776411075238,0.698714,0.824762,75017.41,75017.41,74986.58,0.700000,0.710000,0.290000,0.300000,824762,825,0.710000,-0.011286,-0.008002,-0.003284
2026-04-17T07:31:15.418Z,1776411075418,1776411075418,0.704534,0.824582,75017.43,75017.43,74986.58,0.700000,0.710000,0.290000,0.300000,824582,825,0.710000,-0.005466,-0.007493,0.002027
2026-04-17T07:31:16.231Z,1776411076231,1776411076231,0.714810,0.823769,75018.36,75018.36,74986.58,0.700000,0.710000,0.290000,0.300000,823769,824,0.710000,0.004810,-0.004933,0.009743
2026-04-17T07:31:16.644Z,1776411076644,1776411076644,0.714858,0.823356,75018.36,75018.36,74986.58,0.700000,0.720000,0.280000,0.300000,823356,823,0.720000,-0.005142,-0.005684,0.000542
2026-04-17T07:31:17.359Z,1776411077359,1776411077359,0.724837,0.822641,75019.16,75019.16,74986.58,0.700000,0.720000,0.280000,0.300000,822641,823,0.720000,0.004837,-0.002449,0.007286
2026-04-17T07:31:17.446Z,1776411077446,1776411077446,0.724848,0.822554,75019.16,75019.16,74986.58,0.710000,0.720000,0.280000,0.290000,822554,823,0.720000,0.004848,0.000777,0.004070
2026-04-17T07:31:17.885Z,1776411077885,1776411077885,0.731138,0.822115,75019.16,75019.16,74986.58,0.710000,0.720000,0.280000,0.290000,822115,822,0.720000,0.011138,0.004098,0.007040
2026-04-17T07:31:18.968Z,1776411078968,1776411078968,0.737633,0.821032,75019.16,75019.16,74986.58,0.710000,0.720000,0.280000,0.290000,821032,821,0.720000,0.017633,0.006663,0.010970
2026-04-17T07:31:20.125Z,1776411080125,1776411080125,0.743823,0.819875,75019.09,75019.09,74986.58,0.710000,0.720000,0.280000,0.290000,819875,820,0.720000,0.023823,0.012456,0.011368
2026-04-17T07:31:21.172Z,1776411081172,1776411081172,0.751143,0.818828,75019.18,75019.18,74986.58,0.710000,0.720000,0.280000,0.290000,818828,819,0.720000,0.031143,0.017717,0.013426
2026-04-17T07:31:22.340Z,1776411082340,1776411082340,0.758492,0.817660,75019.26,75019.26,74986.58,0.710000,0.720000,0.280000,0.290000,817660,818,0.720000,0.038492,0.024446,0.014046
2026-04-17T07:31:23.376Z,1776411083376,1776411083376,0.768524,0.816624,75019.85,75019.85,74986.58,0.710000,0.720000,0.280000,0.290000,816624,817,0.720000,0.048524,0.031923,0.016601
2026-04-17T07:31:23.986Z,1776411083986,1776411083986,0.775759,0.816014,75019.88,75019.88,74986.58,0.710000,0.720000,0.280000,0.290000,816014,816,0.720000,0.055759,0.039548,0.016211
2026-04-17T07:31:25.023Z,1776411085023,1776411085023,0.783525,0.814977,75019.96,75019.96,74986.58,0.710000,0.720000,0.280000,0.290000,814977,815,0.720000,0.063525,0.047489,0.016037
2026-04-17T07:31:26.182Z,1776411086182,1776411086182,0.790018,0.813818,75019.85,75019.85,74986.58,0.710000,0.720000,0.280000,0.290000,813818,814,0.720000,0.070018,0.055264,0.014754
2026-04-17T07:31:27.186Z,1776411087186,1776411087186,0.797374,0.812814,75019.84,75019.84,74986.58,0.710000,0.720000,0.280000,0.290000,812814,813,0.720000,0.077374,0.063040,0.014334
2026-04-17T07:31:28.280Z,1776411088280,1776411088280,0.804836,0.811720,75019.84,75019.84,74986.58,0.710000,0.720000,0.280000,0.290000,811720,812,0.720000,0.084836,0.070303,0.014534
2026-04-17T07:31:29.444Z,1776411089444,1776411089444,0.812358,0.810556,75019.84,75019.84,74986.58,0.710000,0.720000,0.280000,0.290000,810556,811,0.720000,0.092358,0.077622,0.014735
2026-04-17T07:31:30.874Z,1776411090874,1776411090874,0.820610,0.809126,75019.93,75019.93,74986.58,0.710000,0.720000,0.280000,0.290000,809126,809,0.720000,0.100610,0.085039,0.015571
2026-04-17T07:31:31.702Z,1776411091702,1776411091702,0.828625,0.808298,75020.00,75020.00,74986.58,0.710000,0.720000,0.280000,0.290000,808298,808,0.720000,0.108625,0.092761,0.015864
2026-04-17T07:31:32.399Z,1776411092399,1776411092399,0.836166,0.807601,75019.99,75019.99,74986.58,0.710000,0.720000,0.280000,0.290000,807601,808,0.720000,0.116166,0.100519,0.015647
2026-04-17T07:31:33.161Z,1776411093161,1776411093161,0.842028,0.806839,75019.78,75019.78,74986.58,0.710000,0.720000,0.280000,0.290000,806839,807,0.720000,0.122028,0.107957,0.014070
2026-04-17T07:31:34.399Z,1776411094399,1776411094399,0.850708,0.805601,75020.92,75020.92,74986.58,0.710000,0.720000,0.280000,0.290000,805601,806,0.720000,0.130708,0.115627,0.015081
2026-04-17T07:31:35.078Z,1776411095078,1776411095078,0.841873,0.804922,75019.72,75019.72,74986.58,0.710000,0.720000,0.280000,0.290000,804922,805,0.720000,0.121873,0.119880,0.001993
2026-04-17T07:31:35.497Z,1776411095497,1776411095497,0.841936,0.804503,75019.72,75019.72,74986.58,0.700000,0.710000,0.290000,0.300000,804503,805,0.710000,0.131936,0.124542,0.007394
2026-04-17T07:31:35.743Z,1776411095743,1776411095743,0.841973,0.804257,75019.72,75019.72,74986.58,0.690000,0.710000,0.290000,0.310000,804257,804,0.710000,0.131973,0.127704,0.004270
2026-04-17T07:31:35.760Z,1776411095760,1776411095760,0.841976,0.804240,75019.72,75019.72,74986.58,0.680000,0.700000,0.300000,0.320000,804240,804,0.700000,0.141976,0.131693,0.010283
2026-04-17T07:31:36.026Z,1776411096026,1776411096026,0.842016,0.803974,75019.72,75019.72,74986.58,0.680000,0.690000,0.310000,0.320000,803974,804,0.690000,0.152016,0.135955,0.016061
2026-04-17T07:31:36.362Z,1776411096362,1776411096362,0.849459,0.803638,75019.71,75019.71,74986.58,0.680000,0.690000,0.310000,0.320000,803638,804,0.690000,0.159459,0.143472,0.015987
2026-04-17T07:31:37.074Z,1776411097074,1776411097074,0.856389,0.802926,75019.63,75019.63,74986.58,0.680000,0.690000,0.310000,0.320000,802926,803,0.690000,0.166389,0.150363,0.016026
2026-04-17T07:31:38.205Z,1776411098205,1776411098205,0.861085,0.801795,75019.32,75019.32,74986.58,0.680000,0.690000,0.310000,0.320000,801795,802,0.690000,0.171085,0.158185,0.012900
2026-04-17T07:31:38.387Z,1776411098387,1776411098387,0.861113,0.801613,75019.32,75019.32,74986.58,0.650000,0.690000,0.310000,0.350000,801613,802,0.690000,0.171113,0.164012,0.007100
2026-04-17T07:31:38.534Z,1776411098534,1776411098534,0.861135,0.801466,75019.32,75019.32,74986.58,0.650000,0.660000,0.340000,0.350000,801466,801,0.660000,0.201135,0.173836,0.027299
2026-04-17T07:31:39.430Z,1776411099430,1776411099430,0.868173,0.800570,75019.25,75019.25,74986.58,0.650000,0.660000,0.340000,0.350000,800570,801,0.660000,0.208173,0.183579,0.024594
2026-04-17T07:31:40.195Z,1776411100195,1776411100195,0.828491,0.799805,75017.06,75017.06,74986.58,0.650000,0.660000,0.340000,0.350000,799805,800,0.660000,0.168491,0.183999,-0.015508
2026-04-17T07:31:41.254Z,1776411101254,1776411101254,0.775381,0.798746,75014.28,75014.28,74986.58,0.650000,0.660000,0.340000,0.350000,798746,799,0.660000,0.115381,0.172859,-0.057477
2026-04-17T07:31:41.995Z,1776411101995,1776411101995,0.775486,0.798005,75014.28,75014.28,74986.58,0.640000,0.650000,0.350000,0.360000,798005,798,0.650000,0.125486,0.163733,-0.038247
2026-04-17T07:31:42.457Z,1776411102457,1776411102457,0.742829,0.797543,75011.96,75011.96,74986.58,0.640000,0.650000,0.350000,0.360000,797543,798,0.650000,0.092829,0.142072,-0.049243
2026-04-17T07:31:43.140Z,1776411103140,1776411103140,0.749490,0.796860,75011.96,75011.96,74986.58,0.640000,0.650000,0.350000,0.360000,796860,797,0.650000,0.099490,0.120335,-0.020846
2026-04-17T07:31:44.229Z,1776411104229,1776411104229,0.756018,0.795771,75011.93,75011.93,74986.58,0.640000,0.650000,0.350000,0.360000,795771,796,0.650000,0.106018,0.107841,-0.001823
2026-04-17T07:31:45.293Z,1776411105293,1776411105293,0.765540,0.794707,75012.29,75012.29,74986.58,0.640000,0.650000,0.350000,0.360000,794707,795,0.650000,0.115540,0.107873,0.007668
2026-04-17T07:31:45.859Z,1776411105859,1776411105859,0.765620,0.794141,75012.29,75012.29,74986.58,0.620000,0.630000,0.370000,0.380000,794141,794,0.630000,0.135620,0.109899,0.025720
2026-04-17T07:31:45.888Z,1776411105888,1776411105888,0.765624,0.794112,75012.29,75012.29,74986.58,0.600000,0.630000,0.370000,0.400000,794112,794,0.630000,0.135624,0.118458,0.017165
2026-04-17T07:31:45.958Z,1776411105958,1776411105958,0.771506,0.794042,75012.17,75012.17,74986.58,0.600000,0.630000,0.370000,0.400000,794042,794,0.630000,0.141506,0.126862,0.014644
2026-04-17T07:31:45.979Z,1776411105979,1776411105979,0.771509,0.794021,75012.17,75012.17,74986.58,0.590000,0.610000,0.390000,0.410000,794021,794,0.610000,0.161509,0.137960,0.023549
2026-04-17T07:31:46.079Z,1776411106079,1776411106079,0.771523,0.793921,75012.17,75012.17,74986.58,0.590000,0.600000,0.400000,0.410000,793921,794,0.600000,0.171523,0.149156,0.022367
2026-04-17T07:31:46.093Z,1776411106093,1776411106093,0.771525,0.793907,75012.17,75012.17,74986.58,0.580000,0.590000,0.410000,0.420000,793907,794,0.590000,0.181525,0.158337,0.023188
2026-04-17T07:31:46.269Z,1776411106269,1776411106269,0.771550,0.793731,75012.17,75012.17,74986.58,0.570000,0.580000,0.420000,0.430000,793731,794,0.580000,0.191550,0.169523,0.022027
2026-04-17T07:31:46.428Z,1776411106428,1776411106428,0.771573,0.793572,75012.17,75012.17,74986.58,0.560000,0.570000,0.430000,0.440000,793572,794,0.570000,0.201573,0.181536,0.020037
2026-04-17T07:31:46.845Z,1776411106845,1776411106845,0.771632,0.793155,75012.17,75012.17,74986.58,0.550000,0.560000,0.440000,0.450000,793155,793,0.560000,0.211632,0.191561,0.020071
2026-04-17T07:31:46.978Z,1776411106978,1776411106978,0.771651,0.793022,75012.17,75012.17,74986.58,0.540000,0.560000,0.440000,0.460000,793022,793,0.560000,0.211651,0.199586,0.012065
2026-04-17T07:31:46.996Z,1776411106996,1776411106996,0.771653,0.793004,75012.17,75012.17,74986.58,0.530000,0.560000,0.440000,0.470000,793004,793,0.560000,0.211653,0.205612,0.006042
2026-04-17T07:31:47.011Z,1776411107011,1776411107011,0.771655,0.792989,75012.17,75012.17,74986.58,0.550000,0.560000,0.440000,0.450000,792989,793,0.560000,0.211655,0.209633,0.002023
2026-04-17T07:31:47.202Z,1776411107202,1776411107202,0.771683,0.792798,75012.17,75012.17,74986.58,0.530000,0.550000,0.450000,0.470000,792798,793,0.550000,0.221683,0.213655,0.008028
2026-04-17T07:31:47.216Z,1776411107216,1776411107216,0.775955,0.792784,75011.90,75011.90,74986.58,0.530000,0.550000,0.450000,0.470000,792784,793,0.550000,0.225955,0.216519,0.009436
