iso_time,ts,published_at,fair_value,fair_value_blended_sigma,confidence,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-22T04:36:47.973Z,1776832607973,1776832607973,0.670855,0.566654,0.492027,0.095483,0.541080,77536.58,77554.21,77523.64,0.500000,0.530000,0.470000,0.500000,492027,492,0.530000,0.140855,0.098885,0.041971,0.011080,-0.024985,0.036064,0.036654,0.000071,0.036583
2026-04-22T04:36:47.974Z,1776832607974,1776832607974,0.676011,0.567098,0.492026,0.092575,0.541115,77536.59,77554.21,77523.64,0.500000,0.530000,0.470000,0.500000,492026,492,0.530000,0.146011,0.105832,0.040179,0.011115,-0.019967,0.031081,0.037098,0.005261,0.031836
2026-04-22T04:36:48.796Z,1776832608796,1776832608796,0.676148,0.567154,0.491204,0.092575,0.541150,77536.59,77544.02,77523.64,0.500000,0.510000,0.490000,0.500000,491204,491,0.510000,0.166148,0.112828,0.053320,0.031150,-0.014949,0.046099,0.057154,0.010448,0.046706
2026-04-22T04:36:48.991Z,1776832608991,1776832608991,0.681329,0.567547,0.491009,0.089754,0.541158,77536.59,77544.02,77523.64,0.500000,0.510000,0.490000,0.500000,491009,491,0.510000,0.171329,0.121363,0.049966,0.031158,-0.007932,0.039089,0.057547,0.017595,0.039953
2026-04-22T04:36:49.965Z,1776832609965,1776832609965,0.543300,0.524398,0.490035,0.160478,0.516857,77528.99,77544.02,77523.64,0.500000,0.510000,0.490000,0.500000,490035,490,0.510000,0.033300,0.129406,-0.096106,0.006857,-0.001916,0.008773,0.014398,0.023776,-0.009379
2026-04-22T04:36:50.934Z,1776832610934,1776832610934,0.542950,0.523666,0.489066,0.155634,0.516203,77528.78,77544.02,77523.64,0.500000,0.510000,0.490000,0.500000,489066,489,0.510000,0.032950,0.123172,-0.090221,0.006203,0.001670,0.004533,0.013666,0.025604,-0.011937
2026-04-22T04:36:51.834Z,1776832611834,1776832611834,0.543565,0.523471,0.488166,0.150901,0.515929,77528.69,77544.02,77523.64,0.500000,0.510000,0.490000,0.500000,488166,488,0.510000,0.033565,0.116398,-0.082833,0.005929,0.005187,0.000742,0.013471,0.027312,-0.013841
2026-04-22T04:36:53.260Z,1776832613260,1776832613260,0.544734,0.523563,0.486740,0.146305,0.515857,77528.66,77544.02,77523.64,0.500000,0.510000,0.490000,0.500000,486740,487,0.510000,0.034734,0.109670,-0.074936,0.005857,0.008673,-0.002816,0.013563,0.028994,-0.015431
2026-04-22T04:36:53.799Z,1776832613799,1776832613799,0.544759,0.523576,0.486201,0.146305,0.515866,77528.66,77544.02,77523.64,0.500000,0.520000,0.480000,0.500000,486201,486,0.520000,0.024759,0.101059,-0.076300,-0.004134,0.010150,-0.014284,0.003576,0.028686,-0.025109
2026-04-22T04:36:53.857Z,1776832613857,1776832613857,0.544762,0.523578,0.486143,0.146305,0.515867,77528.66,77544.02,77523.64,0.510000,0.530000,0.470000,0.490000,486143,486,0.530000,0.014762,0.091450,-0.076689,-0.014133,0.010629,-0.024762,-0.006422,0.027378,-0.033800
2026-04-22T04:36:54.214Z,1776832614214,1776832614214,0.546735,0.524068,0.485786,0.141852,0.516067,77528.72,77544.02,77523.64,0.510000,0.530000,0.470000,0.490000,485786,486,0.530000,0.016735,0.079841,-0.063106,-0.013933,0.009108,-0.023042,-0.005932,0.024071,-0.030003
2026-04-22T04:36:55.200Z,1776832615200,1776832615200,0.549383,0.524865,0.484800,0.137547,0.516471,77528.84,77544.02,77523.64,0.510000,0.530000,0.470000,0.490000,484800,485,0.530000,0.019383,0.067429,-0.048046,-0.013529,0.006607,-0.020136,-0.005135,0.019812,-0.024947
2026-04-22T04:36:55.210Z,1776832615210,1776832615210,0.549384,0.524865,0.484790,0.137547,0.516471,77528.84,77544.02,77523.64,0.520000,0.530000,0.470000,0.480000,484790,485,0.530000,0.019384,0.054767,-0.035383,-0.013529,0.004142,-0.017672,-0.005135,0.015589,-0.020724
2026-04-22T04:36:55.696Z,1776832615696,1776832615696,0.549409,0.524878,0.484304,0.137547,0.516479,77528.84,77544.02,77523.64,0.520000,0.540000,0.460000,0.480000,484304,484,0.540000,0.009409,0.040090,-0.030682,-0.023521,-0.000325,-0.023195,-0.015122,0.009360,-0.024482
2026-04-22T04:36:55.708Z,1776832615708,1776832615708,0.549409,0.524878,0.484292,0.137547,0.516480,77528.84,77544.02,77523.64,0.520000,0.550000,0.450000,0.480000,484292,484,0.550000,-0.000591,0.023898,-0.024489,-0.033520,-0.005793,-0.027727,-0.025122,0.002093,-0.027215
2026-04-22T04:36:56.135Z,1776832616135,1776832616135,0.561822,0.530769,0.483865,0.135019,0.520331,77530.03,77546.21,77523.64,0.520000,0.550000,0.450000,0.480000,483865,484,0.550000,0.011822,0.020509,-0.008687,-0.029669,-0.009831,-0.019838,-0.019231,-0.001859,-0.017371
2026-04-22T04:36:56.496Z,1776832616496,1776832616496,0.561845,0.530781,0.483504,0.135019,0.520339,77530.03,77546.21,77523.64,0.530000,0.550000,0.450000,0.470000,483504,484,0.550000,0.011845,0.018396,-0.006551,-0.029661,-0.013418,-0.016243,-0.019219,-0.005149,-0.014070
2026-04-22T04:36:57.008Z,1776832617008,1776832617008,0.561878,0.530798,0.482992,0.135019,0.520350,77530.03,77546.21,77523.64,0.530000,0.540000,0.460000,0.470000,482992,483,0.540000,0.021878,0.016224,0.005654,-0.019650,-0.016977,-0.002673,-0.009202,-0.008418,-0.000785
2026-04-22T04:36:57.031Z,1776832617031,1776832617031,0.572855,0.535728,0.482969,0.132050,0.523508,77531.01,77546.21,77523.64,0.530000,0.540000,0.460000,0.470000,482969,483,0.540000,0.032855,0.014939,0.017917,-0.016492,-0.019528,0.003036,-0.004272,-0.010694,0.006422
2026-04-22T04:36:58.102Z,1776832618102,1776832618102,0.574616,0.535753,0.481898,0.128031,0.523347,77530.95,77546.21,77523.64,0.530000,0.540000,0.460000,0.470000,481898,482,0.540000,0.034616,0.015748,0.018868,-0.016653,-0.020764,0.004111,-0.004247,-0.011479,0.007233
