iso_time,ts,published_at,fair_value,confidence,sigma,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-20T06:33:24.224Z,1776666804224,1776666804224,0.903170,0.695776,0.000062,0.348288,0.857503,74525.33,74525.33,74366.92,0.920000,0.930000,0.070000,0.080000,695776,696,0.930000,-0.026830,-0.038500,0.011670
2026-04-20T06:33:24.403Z,1776666804403,1776666804403,0.903199,0.695597,0.000062,0.348288,0.857534,74525.33,74525.33,74366.92,0.920000,0.940000,0.060000,0.080000,695597,696,0.940000,-0.036801,-0.035042,-0.001759
2026-04-20T06:33:24.588Z,1776666804588,1776666804588,0.903229,0.695412,0.000062,0.348288,0.857567,74525.33,74525.33,74366.92,0.930000,0.940000,0.060000,0.070000,695412,695,0.940000,-0.036771,-0.033313,-0.003458
2026-04-20T06:33:25.113Z,1776666805113,1776666805113,0.908108,0.694887,0.000063,0.352654,0.865865,74530.84,74530.84,74366.92,0.930000,0.940000,0.060000,0.070000,694887,695,0.940000,-0.031892,-0.032400,0.000507
2026-04-20T06:33:26.138Z,1776666806138,1776666806138,0.915146,0.693862,0.000062,0.350138,0.871917,74534.92,74534.92,74366.92,0.930000,0.940000,0.060000,0.070000,693862,694,0.940000,-0.024854,-0.031430,0.006576
2026-04-20T06:33:27.083Z,1776666807083,1776666807083,0.922639,0.692917,0.000061,0.344466,0.876505,74538.09,74538.09,74366.92,0.930000,0.940000,0.060000,0.070000,692917,693,0.940000,-0.017361,-0.029536,0.012175
2026-04-20T06:33:28.081Z,1776666808081,1776666808081,0.929675,0.691919,0.000060,0.334173,0.877540,74538.72,74538.72,74366.92,0.930000,0.940000,0.060000,0.070000,691919,692,0.940000,-0.010325,-0.024241,0.013916
2026-04-20T06:33:28.895Z,1776666808895,1776666808895,0.929792,0.691105,0.000060,0.334173,0.877679,74538.72,74538.72,74366.92,0.920000,0.940000,0.060000,0.080000,691105,691,0.940000,-0.010208,-0.018928,0.008720
2026-04-20T06:33:29.146Z,1776666809146,1776666809146,0.936146,0.690854,0.000058,0.324035,0.878111,74539.00,74539.00,74366.92,0.920000,0.940000,0.060000,0.080000,690854,691,0.940000,-0.003854,-0.013320,0.009466
2026-04-20T06:33:29.834Z,1776666809834,1776666809834,0.936241,0.690166,0.000058,0.324035,0.878229,74539.00,74539.00,74366.92,0.920000,0.930000,0.070000,0.080000,690166,690,0.930000,0.006241,-0.007102,0.013342
2026-04-20T06:33:30.047Z,1776666810047,1776666810047,0.939188,0.689953,0.000056,0.315819,0.875853,74537.25,74537.25,74366.92,0.920000,0.930000,0.070000,0.080000,689953,690,0.930000,0.009188,-0.001792,0.010980
2026-04-20T06:33:31.028Z,1776666811028,1776666811028,0.906889,0.688972,0.000062,0.350103,0.862793,74528.06,74528.06,74366.92,0.920000,0.930000,0.070000,0.080000,688972,689,0.930000,-0.023111,-0.004349,-0.018762
2026-04-20T06:33:32.009Z,1776666812009,1776666812009,0.904645,0.687991,0.000062,0.345973,0.857493,74524.43,74524.43,74366.92,0.920000,0.930000,0.070000,0.080000,687991,688,0.930000,-0.025355,-0.007378,-0.017977
2026-04-20T06:33:33.004Z,1776666813004,1776666813004,0.907732,0.686996,0.000060,0.337283,0.854726,74522.52,74522.52,74366.92,0.920000,0.930000,0.070000,0.080000,686996,687,0.930000,-0.022268,-0.011061,-0.011207
2026-04-20T06:33:33.992Z,1776666813992,1776666813992,0.913497,0.686008,0.000058,0.327252,0.853837,74521.83,74521.83,74366.92,0.920000,0.930000,0.070000,0.080000,686008,686,0.930000,-0.016503,-0.015610,-0.000893
2026-04-20T06:33:35.067Z,1776666815067,1776666815067,0.919408,0.684933,0.000057,0.317433,0.853200,74521.30,74521.30,74366.92,0.920000,0.930000,0.070000,0.080000,684933,685,0.930000,-0.010592,-0.019566,0.008974
2026-04-20T06:33:36.120Z,1776666816120,1776666816120,0.923557,0.683880,0.000055,0.308729,0.851309,74519.98,74519.98,74366.92,0.920000,0.930000,0.070000,0.080000,683880,684,0.930000,-0.006443,-0.016232,0.009789
2026-04-20T06:33:37.210Z,1776666817210,1776666817210,0.929978,0.682790,0.000053,0.299324,0.851515,74519.99,74519.99,74366.92,0.920000,0.930000,0.070000,0.080000,682790,683,0.930000,-0.000022,-0.011166,0.011144
2026-04-20T06:33:38.400Z,1776666818400,1776666818400,0.936577,0.681600,0.000052,0.290288,0.852316,74520.36,74520.36,74366.92,0.920000,0.930000,0.070000,0.080000,681600,682,0.930000,0.006577,-0.005397,0.011973
2026-04-20T06:33:38.979Z,1776666818979,1776666818979,0.942837,0.681021,0.000050,0.281551,0.853078,74520.78,74520.78,74366.92,0.920000,0.930000,0.070000,0.080000,681021,681,0.930000,0.012837,0.000471,0.012365
2026-04-20T06:33:40.189Z,1776666820189,1776666820189,0.949002,0.679811,0.000049,0.273211,0.854257,74521.40,74521.40,74366.92,0.920000,0.930000,0.070000,0.080000,679811,680,0.930000,0.019002,0.006390,0.012612
2026-04-20T06:33:41.349Z,1776666821349,1776666821349,0.953169,0.678651,0.000047,0.265322,0.853176,74520.58,74520.58,74366.92,0.920000,0.930000,0.070000,0.080000,678651,679,0.930000,0.023169,0.012312,0.010856
2026-04-20T06:33:41.905Z,1776666821905,1776666821905,0.958785,0.678095,0.000046,0.258613,0.855529,74522.02,74522.02,74366.92,0.920000,0.930000,0.070000,0.080000,678095,678,0.930000,0.028785,0.018074,0.010711
2026-04-20T06:33:43.165Z,1776666823165,1776666823165,0.963782,0.676835,0.000045,0.250811,0.856275,74522.36,74522.36,74366.92,0.920000,0.930000,0.070000,0.080000,676835,677,0.930000,0.033782,0.023515,0.010267
2026-04-20T06:33:44.134Z,1776666824134,1776666824134,0.967798,0.675866,0.000043,0.243255,0.855907,74522.01,74522.01,74366.92,0.920000,0.930000,0.070000,0.080000,675866,676,0.930000,0.037798,0.028507,0.009291
2026-04-20T06:33:45.355Z,1776666825355,1776666825355,0.971935,0.674645,0.000042,0.235848,0.856227,74522.07,74522.07,74366.92,0.920000,0.930000,0.070000,0.080000,674645,675,0.930000,0.041935,0.033093,0.008841
2026-04-20T06:33:46.369Z,1776666826369,1776666826369,0.967767,0.673631,0.000042,0.238157,0.850733,74518.47,74518.47,74366.92,0.920000,0.930000,0.070000,0.080000,673631,674,0.930000,0.037767,0.036013,0.001754
2026-04-20T06:33:47.156Z,1776666827156,1776666827156,0.971817,0.672844,0.000041,0.230902,0.850875,74518.47,74518.47,74366.92,0.920000,0.930000,0.070000,0.080000,672844,673,0.930000,0.041817,0.038620,0.003197
2026-04-20T06:33:48.166Z,1776666828166,1776666828166,0.975557,0.671834,0.000040,0.223867,0.851047,74518.46,74518.46,74366.92,0.920000,0.930000,0.070000,0.080000,671834,672,0.930000,0.045557,0.040975,0.004582
2026-04-20T06:33:49.382Z,1776666829382,1776666829382,0.978992,0.670618,0.000039,0.217047,0.851269,74518.46,74518.46,74366.92,0.920000,0.930000,0.070000,0.080000,670618,671,0.930000,0.048992,0.043214,0.005779
2026-04-20T06:33:51.156Z,1776666831156,1776666831156,0.981673,0.668844,0.000038,0.214708,0.855239,74520.77,74520.77,74366.92,0.920000,0.930000,0.070000,0.080000,668844,669,0.930000,0.051673,0.045161,0.006512
2026-04-20T06:33:51.380Z,1776666831380,1776666831380,0.981689,0.668620,0.000038,0.214708,0.855279,74520.77,74520.77,74366.92,0.930000,0.940000,0.060000,0.070000,668620,669,0.940000,0.041689,0.045946,-0.004257
2026-04-20T06:33:51.738Z,1776666831738,1776666831738,0.984495,0.668262,0.000037,0.208170,0.855428,74520.82,74520.82,74366.92,0.930000,0.940000,0.060000,0.070000,668262,668,0.940000,0.044495,0.046481,-0.001986
2026-04-20T06:33:52.705Z,1776666832705,1776666832705,0.984493,0.667295,0.000037,0.205496,0.852297,74518.73,74518.73,74366.92,0.930000,0.940000,0.060000,0.070000,667295,667,0.940000,0.044493,0.046268,-0.001776
2026-04-20T06:33:53.413Z,1776666833413,1776666833413,0.987053,0.666587,0.000035,0.199253,0.852656,74518.88,74518.88,74366.92,0.930000,0.940000,0.060000,0.070000,666587,667,0.940000,0.047053,0.045880,0.001172
2026-04-20T06:33:54.446Z,1776666834446,1776666834446,0.989184,0.665554,0.000034,0.193208,0.852578,74518.71,74518.71,74366.92,0.930000,0.940000,0.060000,0.070000,665554,666,0.940000,0.049184,0.045383,0.003802
2026-04-20T06:33:55.113Z,1776666835113,1776666835113,0.990000,0.664887,0.000033,0.187342,0.852465,74518.56,74518.56,74366.92,0.930000,0.940000,0.060000,0.070000,664887,665,0.940000,0.050000,0.047045,0.002955
2026-04-20T06:33:56.130Z,1776666836130,1776666836130,0.990000,0.663870,0.000032,0.181635,0.852650,74518.56,74518.56,74366.92,0.930000,0.940000,0.060000,0.070000,663870,664,0.940000,0.050000,0.048146,0.001854
2026-04-20T06:33:57.485Z,1776666837485,1776666837485,0.990000,0.662515,0.000031,0.176107,0.852770,74518.48,74518.48,74366.92,0.930000,0.940000,0.060000,0.070000,662515,663,0.940000,0.050000,0.049247,0.000753
2026-04-20T06:33:58.029Z,1776666838029,1776666838029,0.990000,0.661971,0.000030,0.170743,0.852843,74518.46,74518.46,74366.92,0.930000,0.940000,0.060000,0.070000,661971,662,0.940000,0.050000,0.049837,0.000163
2026-04-20T06:33:59.188Z,1776666839188,1776666839188,0.990000,0.660812,0.000031,0.172163,0.848937,74515.90,74515.90,74366.92,0.930000,0.940000,0.060000,0.070000,660812,661,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:00.247Z,1776666840247,1776666840247,0.990000,0.659753,0.000032,0.178250,0.843568,74512.52,74512.52,74366.92,0.930000,0.940000,0.060000,0.070000,659753,660,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:01.347Z,1776666841347,1776666841347,0.990000,0.658653,0.000031,0.174221,0.841777,74511.32,74511.32,74366.92,0.930000,0.940000,0.060000,0.070000,658653,659,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:01.999Z,1776666841999,1776666841999,0.990000,0.658001,0.000030,0.168913,0.841897,74511.32,74511.32,74366.92,0.930000,0.940000,0.060000,0.070000,658001,658,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:03.017Z,1776666843017,1776666843017,0.990000,0.656983,0.000029,0.163768,0.842109,74511.33,74511.33,74366.92,0.930000,0.940000,0.060000,0.070000,656983,657,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:04.027Z,1776666844027,1776666844027,0.990000,0.655973,0.000028,0.158779,0.842295,74511.33,74511.33,74366.92,0.930000,0.940000,0.060000,0.070000,655973,656,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:05.083Z,1776666845083,1776666845083,0.990000,0.654917,0.000028,0.155759,0.844634,74512.62,74512.62,74366.92,0.930000,0.940000,0.060000,0.070000,654917,655,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:06.241Z,1776666846241,1776666846241,0.990000,0.653759,0.000027,0.151266,0.845633,74513.09,74513.09,74366.92,0.930000,0.940000,0.060000,0.070000,653759,654,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:07.563Z,1776666847563,1776666847563,0.990000,0.652437,0.000026,0.147610,0.847374,74514.00,74514.00,74366.92,0.930000,0.940000,0.060000,0.070000,652437,652,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:08.460Z,1776666848460,1776666848460,0.990000,0.651540,0.000026,0.143706,0.846376,74513.29,74513.29,74366.92,0.930000,0.940000,0.060000,0.070000,651540,652,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:09.385Z,1776666849385,1776666849385,0.990000,0.650615,0.000025,0.139329,0.846547,74513.29,74513.29,74366.92,0.930000,0.940000,0.060000,0.070000,650615,651,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:10.941Z,1776666850941,1776666850941,0.990000,0.649059,0.000025,0.139765,0.850025,74515.24,74515.24,74366.92,0.930000,0.940000,0.060000,0.070000,649059,649,0.940000,0.050000,0.050000,0.000000
2026-04-20T06:34:11.806Z,1776666851806,1776666851806,0.950077,0.648194,0.000052,0.292161,0.871872,74529.26,74529.26,74366.92,0.930000,0.940000,0.060000,0.070000,648194,648,0.940000,0.010077,0.042015,-0.031939
2026-04-20T06:34:12.546Z,1776666852546,1776666852546,0.955655,0.647454,0.000050,0.283387,0.872678,74529.72,74529.72,74366.92,0.930000,0.940000,0.060000,0.070000,647454,647,0.940000,0.015655,0.035146,-0.019491
2026-04-20T06:34:13.418Z,1776666853418,1776666853418,0.960865,0.646582,0.000049,0.274857,0.873434,74530.13,74530.13,74366.92,0.930000,0.940000,0.060000,0.070000,646582,647,0.940000,0.020865,0.029319,-0.008455
2026-04-20T06:34:14.138Z,1776666854138,1776666854138,0.965502,0.645862,0.000047,0.266493,0.873738,74530.24,74530.24,74366.92,0.930000,0.940000,0.060000,0.070000,645862,646,0.940000,0.025502,0.024420,0.001082
2026-04-20T06:34:15.471Z,1776666855471,1776666855471,0.969787,0.644529,0.000046,0.258374,0.873997,74530.25,74530.25,74366.92,0.930000,0.940000,0.060000,0.070000,644529,645,0.940000,0.029787,0.020377,0.009410
2026-04-20T06:34:16.206Z,1776666856206,1776666856206,0.973799,0.643794,0.000045,0.250527,0.874401,74530.44,74530.44,74366.92,0.930000,0.940000,0.060000,0.070000,643794,644,0.940000,0.033799,0.025121,0.008678
